id,screen_name,before_reference,target_reference,prototype_screen,implementation_priority,route,main_component,status
01,Список заказов,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/before/orders.png,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/after/orders.png,orders,P1,/orders,src/pages/orders/list.tsx::OrderList,discovered
02,Карточка заказа,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/before/order-card.png,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/after/order-card.png,order-card,P1,/orders/show/:id,src/pages/orders/show.tsx::OrderShow,discovered
03,Создание заказа,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/before/new-order.png,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/after/new-order.png,new-order,P1,/orders/create,src/pages/orders/create.tsx::OrderCreate,discovered
04,Производственный календарь,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/before/calendar.png,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/after/calendar.png,calendar,P2,/calendar,src/pages/calendar/index.tsx::CalendarList,discovered
05,Список клиентов,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/before/clients.png,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/after/clients.png,clients,P2,/clients,src/pages/clients/list.tsx::ClientList,discovered
06,Карточка клиента,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/before/client-card.png,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/after/client-card.png,client-card,P2,/clients/show/:id,src/pages/clients/show.tsx::ClientShow,discovered
07,Платежи,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/before/payments.png,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/after/payments.png,payments,P2,/payments,src/pages/payments/list.tsx::PaymentList,discovered
08,Материалы,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/before/materials.png,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/after/materials.png,materials,P2,/materials,src/pages/materials/list.tsx::MaterialList,discovered
09,Раскрой,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/before/cut.png,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/after/cut.png,cut,P2,/cut,src/pages/cut/CutPage.tsx::CutPage,discovered
10,Конфигурация,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/before/configuration.png,/home/ovhtest/projects/erp_dev/spec_erp/plans/ui-redesign/docs/design-reference/assets/after/configuration.png,configuration,P1,/configuration,src/pages/configuration/index.tsx::ConfigurationPage,discovered
